;Code indicateur;Thématique;Métrique;Unité / Détail;Mots clés;Keywords
18;C4;Risques climatiques;Évaluation du niveau de risque climatique pour la performance financière et les opérations (faible/moyen/élevé);catégorie de risque;profil de risque, impact financier, gravité, probabilité, classification du risque;risk profile, financial impact, severity, likelihood, risk classification
19;C5;Effectifs / Caractéristiques complémentaires;Ratio femmes / hommes au niveau managérial;%;management, cadre, direction, ratio femmes hommes, diversité, égalité, leadership;management, leadership, female to male ratio, diversity, equality, managers
20;C5;Effectifs / Caractéristiques complémentaires;Nombre de travailleurs indépendants sans personnel travaillant exclusivement pour l’entreprise;nombre;indépendants, freelances, sous-traitants individuels, dépendance économique, effectifs élargis;self-employed, freelancers, individual contractors, economic dependence, extended workforce
21;C5;Effectifs / Caractéristiques complémentaires;Nombre de travailleurs temporaires fournis par des entreprises de travail intérimaire;nombre;intérim, travail temporaire, agences d’emploi, main-d’œuvre temporaire, flexibilité;temporary workers, agency workers, employment agencies, temp staff, flexible workforce
22;C6;Droits humains – politiques et processus;Existence d’un code de conduite ou d’une politique de droits humains pour l’effectif propre;binaire (Oui/Non);code de conduite, politique droits humains, charte éthique, responsabilité sociale, RSE;code of conduct, human rights policy, ethics charter, social responsibility, CSR
23;C6;Droits humains – politiques et processus;Couverture du travail des enfants dans la politique de droits humains;binaire (Oui/Non);travail des enfants, exploitation, droits de l’enfant, interdiction, politique sociale;child labour, exploitation, children rights, prohibition, social policy
24;C6;Droits humains – politiques et processus;Couverture du travail forcé dans la politique de droits humains;binaire (Oui/Non);travail forcé, servitude, coercition, droits fondamentaux, politique droits humains;forced labour, servitude, coercion, fundamental rights, human rights policy
25;C6;Droits humains – politiques et processus;Couverture de la traite des êtres humains dans la politique de droits humains;binaire (Oui/Non);traite des êtres humains, trafic, exploitation, droits humains, politique d’entreprise;human trafficking, trafficking, exploitation, human rights, company policy
26;C6;Droits humains – politiques et processus;Couverture de la discrimination dans la politique de droits humains;binaire (Oui/Non);discrimination, égalité, diversité, inclusion, non-discrimination, droits humains;discrimination, equality, diversity, inclusion, non-discrimination, human rights
27;C6;Droits humains – politiques et processus;Couverture de la prévention des accidents dans la politique de droits humains;binaire (Oui/Non);prévention des accidents, sécurité au travail, santé et sécurité, politique HSE;accident prevention, occupational safety, health and safety, HSE policy
28;C6;Droits humains – politiques et processus;Couverture d’autres thèmes de droits humains dans la politique (à préciser);texte;droits humains, autres thèmes, harcèlement, liberté d’association, vie privée;human rights, other topics, harassment, freedom of association, privacy
29;C6;Droits humains – politiques et processus;Existence d’un mécanisme de traitement des plaintes pour l’effectif propre;binaire (Oui/Non);mécanisme de plainte, canal de signalement, alerte éthique, whistleblowing, réclamations;grievance mechanism, reporting channel, ethics hotline, whistleblowing, complaints
30;C7;Droits humains – incidents graves;Incidents confirmés liés au travail des enfants dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, travail des enfants, violation des droits, enquête interne, cas confirmés;incident, child labour, rights violation, internal investigation, confirmed cases
31;C7;Droits humains – incidents graves;Incidents confirmés liés au travail forcé dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, travail forcé, coercition, droits humains, cas confirmés;incident, forced labour, coercion, human rights, confirmed cases
32;C7;Droits humains – incidents graves;Incidents confirmés liés à la traite des êtres humains dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, traite des êtres humains, exploitation, droits humains, cas confirmés;incident, human trafficking, exploitation, human rights, confirmed cases
33;C7;Droits humains – incidents graves;Incidents confirmés de discrimination dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, discrimination, harcèlement, égalité, diversité, cas confirmés;incident, discrimination, harassment, equality, diversity, confirmed cases
34;C7;Droits humains – incidents graves;Autres incidents graves en matière de droits humains dans l’effectif propre;texte / nombre;incident grave, droits humains, violations, cas majeurs, signalements;severe incident, human rights, violations, major cases, reports
35;C7;Droits humains – incidents graves;Actions entreprises pour traiter les incidents graves de droits humains;texte;remédiation, actions correctives, sanctions disciplinaires, prévention, plan d’action;remediation, corrective actions, disciplinary measures, prevention, action plan
36;C7;Droits humains – incidents graves dans la chaîne de valeur;Incidents confirmés dans la chaîne de valeur, les communautés affectées, les consommateurs ou utilisateurs finaux;binaire (Oui/Non) + description;chaîne de valeur, fournisseurs, communautés, consommateurs, incidents, droits humains;value chain, suppliers, communities, consumers, incidents, human rights
37;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant des armes controversées (mines antipersonnel, armes chimiques, biologiques, sous-munitions);€ et/ou % du chiffre d’affaires total;armes controversées, mines antipersonnel, sous-munitions, armement, défense, revenus;controversial weapons, antipersonnel mines, cluster munitions, chemical weapons, biological weapons, revenue
38;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant de la culture et de la production de tabac;€ et/ou % du chiffre d’affaires total;tabac, cigarette, culture, production, secteur sensible, revenus;tobacco, cigarettes, cultivation, production, sensitive sector, revenue
39;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du secteur des combustibles fossiles (total);€ et/ou % du chiffre d’affaires total;combustibles fossiles, pétrole, gaz, charbon, exploration, production, revenus;fossil fuels, oil, gas, coal, exploration, production, revenue
40;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du charbon;€ et/ou % du chiffre d’affaires total;charbon, extraction, exploitation minière, centrale à charbon, revenus;coal, mining, coal power, extraction, revenue
41;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du pétrole;€ et/ou % du chiffre d’affaires total;pétrole, exploration, production, raffinage, distribution, revenus;oil, exploration, production, refining, distribution, revenue
42;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du gaz;€ et/ou % du chiffre d’affaires total;gaz, extraction, liquéfaction, transport, distribution, revenus;gas, extraction, liquefaction, transport, distribution, revenue
43;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant de la fabrication de pesticides et autres produits agrochimiques;€ et/ou % du chiffre d’affaires total;pesticides, agrochimie, produits phytosanitaires, fabricant, revenus;pesticides, agrochemicals, crop protection, manufacturer, revenue
44;C8;Référentiels et indices;Exclusion de l’entreprise des indices de référence de l’UE alignés sur l’Accord de Paris;binaire (Oui/Non) + description;indices de référence, benchmarks UE, alignement Paris, exclusion, investissement durable;EU benchmarks, Paris-aligned, exclusion, sustainable investment, reference index
45;C9;Gouvernance / Diversité;Ratio de diversité femmes / hommes dans l’organe de gouvernance (conseil, direction, etc.);%;gouvernance, conseil d’administration, direction, diversité, femmes, hommes, parité;governance, board of directors, management body, diversity, gender balance, parity
