;Code indicateur;Thématique;Métrique;Unité / Détail;Mots clés;Keywords;code_vsme;defaut
10;B7;Ressources / Économie circulaire;Quantité de déchets dangereux produits;tonnes;déchets dangereux, toxiques, pollution, sécurité, traitement, gestion, environnement, réglementation, tonnes, stockage;hazardous waste, toxic, pollution, safety, treatment, management, environment, regulation, tons, storage;B7_2;1
11;B7;Ressources / Économie circulaire;Quantité de déchets non dangereux produits;tonnes;déchets, non dangereux, recyclage, valorisation, économie circulaire, matières, environnement, production, tonnes, tri;waste, non-hazardous, recycling, valorization, circular economy, materials, environment, production, tons, sorting;B7_3;1
12;B7;Ressources / Économie circulaire;Quantité de déchets recyclés ou réutilisés;tonnes;recyclage, réutilisation, valorisation, déchets, tonnes, économie circulaire, ressources, matières, durabilité, gestion;recycling, reuse, valorization, waste, tons, circular economy, resources, materials, sustainability, management;B7_4;1
13;B7;Ressources / Économie circulaire;Flux massiques annuels de matières utilisées (si pertinent);tonnes;matières, flux massique, consommation, ressources, tonnes, approvisionnement, production, bilan matière, environnement, industrie;materials, mass flow, consumption, resources, tons, supply, production, material balance, environment, industry;B7_5;1
14;B8;Effectifs;Nombre total de salariés;nombre;effectifs, salariés, RH, travail, personnel, emploi, effectif total, organisation, social, ressources humaines;workforce, employees, HR, work, staff, employment, total headcount, organization, social, human resources;B8_1;1
15;B8;Effectifs;Nombre de salariés par type de contrat (CDI/CDD/intérim);nombre;contrat, CDI, CDD, intérim, emploi, RH, effectifs, statut, ressources humaines, travail;contract, permanent, fixed-term, temporary, employment, HR, workforce, status, human resources, labor;B8_2;1
16;B8;Effectifs;Nombre de salariés par sexe;nombre;égalité, genre, hommes, femmes, effectifs, parité, RH, diversité, inclusion, emploi;equality, gender, men, women, workforce, parity, HR, diversity, inclusion, employment;B8_3;1
17;B8;Effectifs;Nombre de salariés par pays;nombre;effectifs, pays, répartition géographique, emploi, international, RH, diversité, organisation, implantations, salariés;workforce, countries, geographical distribution, employment, international, HR, diversity, organization, locations, employees;B8_4;1
18;B8;Effectifs;Taux de rotation des salariés (si ≥ 50 salariés);%;rotation, turnover, mobilité, fidélisation, salariés, RH, emploi, effectifs, ressources humaines, taux;turnover, rotation, mobility, retention, employees, HR, employment, workforce, human resources, rate;B8_5;1
19;B9;Santé & sécurité;Nombre d’accidents du travail comptabilisables;nombre;accidents, travail, sécurité, santé, risques, prévention, fréquence, conditions de travail, indicateur social, salariés;accidents, work, safety, health, risks, prevention, frequency, working conditions, social indicator, employees;B9_1;1
20;B9;Santé & sécurité;Taux d’accidents du travail;%;accidents, taux, fréquence, gravité, sécurité, santé, prévention, conditions de travail, risques, indicateur sécurité;accidents, rate, frequency, severity, safety, health, prevention, working conditions, risks, safety indicator;B9_2;1
21;B9;Santé & sécurité;Nombre de décès liés à des accidents ou maladies professionnelles;nombre;décès, accidents, maladies professionnelles, sécurité, santé, travail, risques, prévention, indicateur social, zéro accident;deaths, accidents, occupational diseases, safety, health, work, risks, prevention, social indicator, zero accident;B9_3;1
22;B10;Rémunération;Écart de rémunération femmes / hommes;%;rémunération, écart, égalité salariale, genre, femmes, hommes, parité, RH, salaires, équité;pay, salary, gap, gender equality, women, men, parity, HR, wages, equity, compensation;B10_1;1
23;B10;Rémunération;Pourcentage de salariés couverts par une convention collective;%;convention collective, droit du travail, syndicat, couverture, accord, RH, conditions de travail, salariés, juridique, protection;collective agreement, labor law, union, coverage, agreement, HR, working conditions, employees, legal, protection;B10_2;1
24;B10;Formation;Nombre moyen d’heures de formation par salarié;heures/an;formation, heures, compétences, développement, apprentissage, salariés, RH, évolution, professionnelle, capacité;training, hours, skills, development, learning, employees, HR, career, professional, capacity;B10_3;1
25;B10;Formation;Nombre moyen d’heures de formation par sexe;heures/an;formation, égalité, genre, hommes, femmes, développement, compétences, RH, apprentissage, parité;training, equality, gender, men, women, development, skills, HR, learning, parity;B10_4;1
26;B11;Gouvernance / Corruption;Nombre total de condamnations pour corruption;nombre;corruption, condamnations, éthique, gouvernance, intégrité, conformité, risques, transparence, anticorruption, juridique;corruption, convictions, ethics, governance, integrity, compliance, risks, transparency, anti-corruption, legal;B11_1;1
27;B11;Gouvernance / Corruption;Montant total des amendes pour corruption;€;amendes, corruption, sanctions, éthique, gouvernance, intégrité, juridique, conformité, transparence, responsabilité;fines, corruption, penalties, ethics, governance, integrity, legal, compliance, transparency, accountability;B11_2;1
0;B1;Base de préparation du rapport;Liste des filiales incluses dans le rapport de durabilité (nom et adresse légale);texte / liste;filiales, liste des filiales, adresse enregistrée, groupe, périmètre, consolidation, entités incluses;subsidiaries, list of subsidiaries, registered address, group, consolidation perimeter, included entities;B1_1;1
1;B1;Base de préparation du rapport;Forme juridique de l’entreprise;texte;forme juridique, statut légal, société anonyme, SARL, SAS, entreprise individuelle, droit des sociétés;legal form, legal status, corporation, limited company, partnership, sole trader, company law;B1_2;1
2;B1;Base de préparation du rapport;Code(s) NACE du secteur d’activité;code NACE;NACE, code activité, classification sectorielle, secteur économique, industrie, réglementation européenne;NACE, activity code, sector classification, economic sector, industry, EU classification;B1_3;1
3;B1;Base de préparation du rapport;Taille du bilan;€;taille du bilan, total bilan, actif, passif, seuils micro, petite, moyenne entreprise;balance sheet total, total assets, liabilities, micro enterprise, small enterprise, medium enterprise;B1_4;1
4;B1;Base de préparation du rapport;Chiffre d’affaires net;€;chiffre d’affaires, ventes, revenus, net turnover, performance financière, taille de l’entreprise;turnover, revenue, sales, net turnover, financial performance, company size;B1_5;1
5;B1;Base de préparation du rapport;Nombre d’employés (effectif moyen ou équivalents temps plein);nombre;effectif, nombre d’employés, ETP, personnel, taille de l’effectif, ressources humaines;headcount, number of employees, FTE, staff, workforce size, human resources;B1_6;1
6;B1;Base de préparation du rapport;Pays principal d’opération et localisation des actifs significatifs;texte;pays d’opération, localisation des actifs, actifs significatifs, implantation géographique, sites principaux;country of operations, location of significant assets, geographic footprint, main sites, operations;B1_7;1
7;B1;Base de préparation du rapport;Géolocalisation des sites détenus, loués ou gérés;coordonnées / adresses;géolocalisation, localisation des sites, adresses, sites industriels, bureaux, implantation, carte;geolocation, site location, addresses, industrial sites, offices, facilities, map;B1_8;1
8;B1;Base de préparation du rapport;Certifications ou labels liés à la durabilité (description, organisme, date et score le cas échéant);texte;certification, label, ISO 14001, ISO 45001, B Corp, notation ESG, rating, écolabel;certification, label, ISO 14001, ISO 45001, B Corp, ESG rating, ecolabel, sustainability label;B1_9;1
9;B2;Pratiques et politiques de durabilité;Pratiques opérationnelles mises en place pour réduire les impacts environnementaux et sociaux;texte / exemples;pratiques, bonnes pratiques, réduction des impacts, consommation d’eau, énergie, pollution, sécurité, conditions de travail;practices, good practices, impact reduction, water consumption, energy, pollution, safety, working conditions;B2_1;1
10;B2;Pratiques et politiques de durabilité;Politiques formalisées en matière environnementale, sociale ou de gouvernance (ESG) et disponibilité publique;texte (oui/non et description);politique, politique environnementale, politique sociale, politique de gouvernance, ESG, charte, document public;policy, environmental policy, social policy, governance policy, ESG, code, public document;B2_2;1
11;B2;Pratiques et politiques de durabilité;Initiatives et plans futurs en matière de durabilité;texte / plan d’action;initiative future, plan, transition durable, projets à venir, roadmap, stratégie de durabilité;future initiatives, plans, sustainable transition, upcoming projects, roadmap, sustainability strategy;B2_3;1
12;B2;Pratiques et politiques de durabilité;Objectifs et cibles pour suivre la mise en œuvre des politiques et les progrès réalisés;texte / indicateurs, valeur cible;objectifs, cibles, KPI, suivi, indicateurs de performance, progrès, plan d’action;targets, goals, KPIs, monitoring, performance indicators, progress, action plan;B2_4;1
13;B3;Énergie et émissions de GES;Consommation d’électricité renouvelable;MWh;électricité, énergie renouvelable, consommation, MWh, énergie verte, solaire, éolien, hydroélectricité;electricity, renewable energy, consumption, MWh, green energy, solar, wind, hydropower;B3_5;1
14;B3;Énergie et émissions de GES;Consommation d’électricité non renouvelable;MWh;électricité, énergie non renouvelable, consommation, MWh, réseau, énergie fossile;electricity, non-renewable energy, consumption, MWh, grid, fossil energy;B3_6;1
15;B3;Énergie et émissions de GES;Consommation totale d’électricité;MWh;électricité, consommation totale, MWh, énergie, facture d’électricité, bilan énergétique;electricity, total consumption, MWh, energy, electricity bill, energy balance;B3_7;1
16;B3;Énergie et émissions de GES;Consommation de combustibles renouvelables;MWh;combustibles, carburants, énergie renouvelable, biomasse, biogaz, MWh, consommation;fuels, renewable fuels, biomass, biogas, MWh, energy consumption;B3_8;1
17;B3;Énergie et émissions de GES;Consommation de combustibles non renouvelables;MWh;combustibles, carburants fossiles, diesel, gaz naturel, pétrole, MWh, consommation;fuels, fossil fuels, diesel, natural gas, oil, MWh, energy consumption;B3_9;1
18;B3;Énergie et émissions de GES;Consommation totale de combustibles;MWh;combustibles, carburants, consommation totale, énergie, MWh, bilan énergétique;fuels, total fuel consumption, energy, MWh, energy balance;B3_10;1
19;B3;Énergie et émissions de GES;Intensité des émissions de GES (émissions de GES / chiffre d’affaires);tCO₂e/€ de chiffre d’affaires;intensité carbone, intensité GES, tCO₂e, chiffre d’affaires, performance climatique, efficacité carbone;GHG intensity, carbon intensity, tCO₂e, revenue, climate performance, carbon efficiency;B3_11;1
20;B4;Pollution;Émissions de polluants dans l’air (par substance réglementée);kg ou tonnes/an;pollution de l’air, NOx, SOx, particules, COV, émissions atmosphériques, registre des émissions;air pollution, NOx, SOx, particulate matter, VOC, air emissions, pollutant register;B4_1;1
21;B4;Pollution;Émissions de polluants dans l’eau (par substance réglementée);kg ou tonnes/an;pollution de l’eau, rejets aqueux, substances dangereuses, effluents, milieux aquatiques;water pollution, effluents, hazardous substances, discharges, aquatic environment;B4_2;1
22;B4;Pollution;Émissions de polluants dans le sol (par substance réglementée);kg ou tonnes/an;pollution des sols, contamination, rejets, substances dangereuses, sites pollués;soil pollution, contamination, releases, hazardous substances, contaminated sites;B4_3;1
23;B5;Biodiversité / Occupation des sols;Utilisation totale des terres par l’entreprise;ha;occupation des sols, surface totale, foncier, hectares, empreinte foncière, terrains;land use, total land, hectares, land footprint, land area, sites;B5_3;1
24;B5;Biodiversité / Occupation des sols;Surface totale artificialisée ou imperméabilisée;ha;surface imperméabilisée, sols artificialisés, béton, bâtiments, parking, infrastructures;sealed area, impervious surface, artificial land, buildings, paved areas, infrastructure;B5_4;1
25;B5;Biodiversité / Occupation des sols;Surface totale à vocation naturelle sur site;ha;surface naturelle, espaces verts, biodiversité, zones de nature, aménagement paysager;nature-oriented area on-site, green areas, biodiversity, natural zones, landscaping;B5_5;1
26;B5;Biodiversité / Occupation des sols;Surface totale à vocation naturelle hors site soutenue par l’entreprise;ha;surface naturelle hors site, compensation, restauration écologique, projets de biodiversité;nature-oriented area off-site, offsetting, ecological restoration, biodiversity projects;B5_6;1
27;B7;Ressources / Économie circulaire;Application des principes d’économie circulaire et description des pratiques;texte;économie circulaire, réemploi, réutilisation, éco-conception, allongement de la durée de vie, boucles de matière;circular economy, reuse, remanufacturing, eco-design, product lifetime, material loops;B7_6;1
28;B10;Rémunération;Conformité de la rémunération au salaire minimum légal ou conventionnel;binaire (Oui/Non) ou description;salaire minimum, rémunération, droit du travail, sous-rémunération, conformité, salaire décent;minimum wage, pay, labour law, underpayment, compliance, decent wage;B10_5;0
0;C1;Stratégie et modèle d’affaires;Description des principaux groupes de produits et/ou services;texte;modèle d’affaires, produits, services, offre, portefeuille, segments, propositions de valeur;business model, products, services, offering, portfolio, segments, value proposition;C1_1;1
1;C1;Stratégie et modèle d’affaires;Description des principaux marchés (B2B, B2C, pays, canaux);texte;marchés, clients, B2B, B2C, pays, géographies, segments de marché, distribution;markets, customers, B2B, B2C, countries, geographies, market segments, distribution;C1_2;1
2;C1;Stratégie et modèle d’affaires;Description des principales relations d’affaires (fournisseurs, clients clés, canaux de distribution);texte;relations d’affaires, fournisseurs, clients, chaîne de valeur, partenaires, distribution, écosystème;business relationships, suppliers, key customers, value chain, partners, distribution, ecosystem;C1_3;1
3;C1;Stratégie et durabilité;Éléments de stratégie liés aux enjeux de durabilité (objectifs, priorités, axes de transition);texte;stratégie de durabilité, transition, climat, social, gouvernance, objectifs ESG, feuille de route;sustainability strategy, transition, climate, social, governance, ESG goals, roadmap;C1_4;1
4;C2;Pratiques et politiques de durabilité;Description synthétique des pratiques, politiques et initiatives de transition durable (complément B2);texte;pratiques, politiques, initiatives, transition durable, gouvernance ESG, gestion des risques;practices, policies, initiatives, sustainable transition, ESG governance, risk management;C2_1;1
5;C2;Gouvernance de la durabilité;Niveau hiérarchique responsable de la mise en œuvre des politiques et initiatives de durabilité;texte (fonction/instance);responsabilité, gouvernance, direction, conseil, comité ESG, responsable RSE;responsibility, governance, management, board, ESG committee, sustainability officer;C2_2;1
6;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 1 (valeur absolue et année cible);tCO₂e et année cible;objectif GES, scope 1, réduction des émissions, cible climatique, neutralité carbone;GHG target, scope 1, emission reduction, climate target, carbon neutrality;C3_1;1
7;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 2 (valeur absolue et année cible);tCO₂e et année cible;objectif GES, scope 2, électricité, énergie achetée, réduction des émissions;GHG target, scope 2, purchased energy, electricity, emission reduction;C3_2;1
8;C3;Climat / Objectifs de réduction GES;Objectifs de réduction des émissions de GES pour le scope 3 (si applicables);tCO₂e et année cible;objectif GES, scope 3, chaîne de valeur, amont, aval, transition climatique;GHG target, scope 3, value chain, upstream, downstream, climate transition;C3_3;1
9;C3;Climat / Objectifs de réduction GES;Année de référence et niveau d’émissions de référence pour les objectifs GES;année de base et tCO₂e;année de base, baseline, émissions de référence, trajectoire de réduction, historique;base year, baseline, reference emissions, reduction pathway, historical emissions;C3_4;1
10;C3;Climat / Objectifs de réduction GES;Part des scopes 1, 2 et 3 couverts par les objectifs (en pourcentage des émissions totales);%;couverture des objectifs, scopes 1 2 3, pourcentage des émissions couvertes, périmètre climatique;target coverage, scopes 1 2 3, percentage of emissions covered, climate scope;C3_5;1
11;C3;Climat / Plan de transition;Principales actions prévues pour atteindre les objectifs climatiques;texte / liste;plan d’action, mesures de réduction, efficacité énergétique, renouvelables, décarbonation;action plan, reduction measures, energy efficiency, renewables, decarbonisation;C3_6;1
12;C3;Climat / Plan de transition;Existence d’un plan de transition climatique formel pour les secteurs à fort impact;binaire (Oui/Non) + description;plan de transition, climat, secteurs à fort impact, alignement, stratégie bas carbone;climate transition plan, high climate impact sectors, low-carbon strategy, alignment;C3_7;1
13;C3;Climat / Plan de transition;Intention et horizon pour l’adoption d’un plan de transition climatique (si absence actuelle);texte;projet de plan de transition, calendrier, engagement futur, stratégie climatique;planned transition plan, timeline, future commitment, climate strategy;C3_8;1
14;C4;Risques climatiques;Description des aléas physiques et événements de transition liés au climat identifiés;texte;risques climatiques, aléas physiques, transition bas carbone, réglementation, marché;climate risks, physical hazards, transition risks, regulation, market changes;C4_1;1
15;C4;Risques climatiques;Méthodes d’évaluation de l’exposition et de la sensibilité des actifs, activités et chaîne de valeur aux risques climatiques;texte;évaluation des risques, exposition, sensibilité, scénarios climatiques, analyse de vulnérabilité;risk assessment, exposure, sensitivity, climate scenarios, vulnerability analysis;C4_2;1
16;C4;Risques climatiques;Horizon temporel des risques climatiques identifiés (court, moyen, long terme);texte / catégories de temps;horizon temporel, court terme, moyen terme, long terme, planification, prospective;time horizon, short term, medium term, long term, planning, foresight;C4_3;1
17;C4;Risques climatiques;Actions d’adaptation mises en œuvre pour répondre aux risques climatiques;texte;adaptation, résilience, mesures d’adaptation, infrastructures, continuité d’activité;adaptation, resilience, adaptation measures, infrastructure, business continuity;C4_4;1
18;C4;Risques climatiques;Évaluation du niveau de risque climatique pour la performance financière et les opérations (faible/moyen/élevé);catégorie de risque;profil de risque, impact financier, gravité, probabilité, classification du risque;risk profile, financial impact, severity, likelihood, risk classification;C4_5;1
19;C5;Effectifs / Caractéristiques complémentaires;Ratio femmes / hommes au niveau managérial;%;management, cadre, direction, ratio femmes hommes, diversité, égalité, leadership;management, leadership, female to male ratio, diversity, equality, managers;C5_1;1
20;C5;Effectifs / Caractéristiques complémentaires;Nombre de travailleurs indépendants sans personnel travaillant exclusivement pour l’entreprise;nombre;indépendants, freelances, sous-traitants individuels, dépendance économique, effectifs élargis;self-employed, freelancers, individual contractors, economic dependence, extended workforce;C5_2;1
21;C5;Effectifs / Caractéristiques complémentaires;Nombre de travailleurs temporaires fournis par des entreprises de travail intérimaire;nombre;intérim, travail temporaire, agences d’emploi, main-d’œuvre temporaire, flexibilité;temporary workers, agency workers, employment agencies, temp staff, flexible workforce;C5_3;1
22;C6;Droits humains – politiques et processus;Existence d’un code de conduite ou d’une politique de droits humains pour l’effectif propre;binaire (Oui/Non);code de conduite, politique droits humains, charte éthique, responsabilité sociale, RSE;code of conduct, human rights policy, ethics charter, social responsibility, CSR;C6_1;1
23;C6;Droits humains – politiques et processus;Couverture du travail des enfants dans la politique de droits humains;binaire (Oui/Non);travail des enfants, exploitation, droits de l’enfant, interdiction, politique sociale;child labour, exploitation, children rights, prohibition, social policy;C6_2;1
24;C6;Droits humains – politiques et processus;Couverture du travail forcé dans la politique de droits humains;binaire (Oui/Non);travail forcé, servitude, coercition, droits fondamentaux, politique droits humains;forced labour, servitude, coercion, fundamental rights, human rights policy;C6_3;1
25;C6;Droits humains – politiques et processus;Couverture de la traite des êtres humains dans la politique de droits humains;binaire (Oui/Non);traite des êtres humains, trafic, exploitation, droits humains, politique d’entreprise;human trafficking, trafficking, exploitation, human rights, company policy;C6_4;1
26;C6;Droits humains – politiques et processus;Couverture de la discrimination dans la politique de droits humains;binaire (Oui/Non);discrimination, égalité, diversité, inclusion, non-discrimination, droits humains;discrimination, equality, diversity, inclusion, non-discrimination, human rights;C6_5;1
27;C6;Droits humains – politiques et processus;Couverture de la prévention des accidents dans la politique de droits humains;binaire (Oui/Non);prévention des accidents, sécurité au travail, santé et sécurité, politique HSE;accident prevention, occupational safety, health and safety, HSE policy;C6_6;1
28;C6;Droits humains – politiques et processus;Couverture d’autres thèmes de droits humains dans la politique (à préciser);texte;droits humains, autres thèmes, harcèlement, liberté d’association, vie privée;human rights, other topics, harassment, freedom of association, privacy;C6_7;0
29;C6;Droits humains – politiques et processus;Existence d’un mécanisme de traitement des plaintes pour l’effectif propre;binaire (Oui/Non);mécanisme de plainte, canal de signalement, alerte éthique, whistleblowing, réclamations;grievance mechanism, reporting channel, ethics hotline, whistleblowing, complaints;C6_8;0
30;C7;Droits humains – incidents graves;Incidents confirmés liés au travail des enfants dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, travail des enfants, violation des droits, enquête interne, cas confirmés;incident, child labour, rights violation, internal investigation, confirmed cases;C7_1;0
31;C7;Droits humains – incidents graves;Incidents confirmés liés au travail forcé dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, travail forcé, coercition, droits humains, cas confirmés;incident, forced labour, coercion, human rights, confirmed cases;C7_2;0
32;C7;Droits humains – incidents graves;Incidents confirmés liés à la traite des êtres humains dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, traite des êtres humains, exploitation, droits humains, cas confirmés;incident, human trafficking, exploitation, human rights, confirmed cases;C7_3;0
33;C7;Droits humains – incidents graves;Incidents confirmés de discrimination dans l’effectif propre;binaire (Oui/Non) et/ou nombre;incident, discrimination, harcèlement, égalité, diversité, cas confirmés;incident, discrimination, harassment, equality, diversity, confirmed cases;C7_4;0
34;C7;Droits humains – incidents graves;Autres incidents graves en matière de droits humains dans l’effectif propre;texte / nombre;incident grave, droits humains, violations, cas majeurs, signalements;severe incident, human rights, violations, major cases, reports;C7_5;0
35;C7;Droits humains – incidents graves;Actions entreprises pour traiter les incidents graves de droits humains;texte;remédiation, actions correctives, sanctions disciplinaires, prévention, plan d’action;remediation, corrective actions, disciplinary measures, prevention, action plan;C7_6;0
36;C7;Droits humains – incidents graves dans la chaîne de valeur;Incidents confirmés dans la chaîne de valeur, les communautés affectées, les consommateurs ou utilisateurs finaux;binaire (Oui/Non) + description;chaîne de valeur, fournisseurs, communautés, consommateurs, incidents, droits humains;value chain, suppliers, communities, consumers, incidents, human rights;C7_7;0
37;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant des armes controversées (mines antipersonnel, armes chimiques, biologiques, sous-munitions);€ et/ou % du chiffre d’affaires total;armes controversées, mines antipersonnel, sous-munitions, armement, défense, revenus;controversial weapons, antipersonnel mines, cluster munitions, chemical weapons, biological weapons, revenue;C8_1;0
38;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant de la culture et de la production de tabac;€ et/ou % du chiffre d’affaires total;tabac, cigarette, culture, production, secteur sensible, revenus;tobacco, cigarettes, cultivation, production, sensitive sector, revenue;C8_2;0
39;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du secteur des combustibles fossiles (total);€ et/ou % du chiffre d’affaires total;combustibles fossiles, pétrole, gaz, charbon, exploration, production, revenus;fossil fuels, oil, gas, coal, exploration, production, revenue;C8_3;0
40;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du charbon;€ et/ou % du chiffre d’affaires total;charbon, extraction, exploitation minière, centrale à charbon, revenus;coal, mining, coal power, extraction, revenue;C8_4;0
41;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du pétrole;€ et/ou % du chiffre d’affaires total;pétrole, exploration, production, raffinage, distribution, revenus;oil, exploration, production, refining, distribution, revenue;C8_5;0
42;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant du gaz;€ et/ou % du chiffre d’affaires total;gaz, extraction, liquéfaction, transport, distribution, revenus;gas, extraction, liquefaction, transport, distribution, revenue;C8_6;0
43;C8;Revenus par secteurs sensibles;Chiffre d’affaires provenant de la fabrication de pesticides et autres produits agrochimiques;€ et/ou % du chiffre d’affaires total;pesticides, agrochimie, produits phytosanitaires, fabricant, revenus;pesticides, agrochemicals, crop protection, manufacturer, revenue;C8_7;0
44;C8;Référentiels et indices;Exclusion de l’entreprise des indices de référence de l’UE alignés sur l’Accord de Paris;binaire (Oui/Non) + description;indices de référence, benchmarks UE, alignement Paris, exclusion, investissement durable;EU benchmarks, Paris-aligned, exclusion, sustainable investment, reference index;C8_8;0
45;C9;Gouvernance / Diversité;Ratio de diversité femmes / hommes dans l’organe de gouvernance (conseil, direction, etc.);%;gouvernance, conseil d’administration, direction, diversité, femmes, hommes, parité;governance, board of directors, management body, diversity, gender balance, parity;C9_1;0
